Raw Material Name,Supplier,Location,Price Per Unit (LKR),Delivery Options,Quality Rating,Contact Number
Soursop,Nature's Bounty,Kandy,65.93,Delivery,A,+94771038212
Soursop,Island Fresh Produce,Negombo,318.5,Pickup,B,+94767399329
Banana,Island Fresh Produce,Anuradhapura,409.41,Delivery,B,+94728710959
Banana,Fresh Picks,Batticaloa,161.86,Courier,A,+94721589484
Ambarella,Exotic Fruits Lanka,Trincomalee,333.94,Delivery,B,+94792877537
Ambarella,Spice Garden Exports,Ratnapura,361.34,Pickup,C,+94724520135
Papaya,Golden Mango Traders,Kandy,72.87,Pickup,C,+94720820195
Papaya,Royal Fruit Exports,Badulla,59.43,Delivery,A,+94799672940
Papaya,Exotic Fruits Lanka,Jaffna,169.29,Courier,B,+94799408588
Papaya,Island Fresh Produce,Kurunegala,392.91,Delivery,A,+94705425953
Beli,Green Valley Orchards,Ratnapura,498.85,Courier,C,+94721702407
Soursop,Southern Fruits & Veggies,Galle,463.17,Courier,C,+94709640036
Soursop,Fresh Picks,Matara,61.09,Pickup,B,+94766368618
Orange,Green Valley Orchards,Negombo,93.82,Pickup,C,+94773868399
Orange,Hill Country Harvest,Galle,106.62,Pickup,A,+94739464126
Lychee,Farm Direct,Anuradhapura,341.99,Delivery,B,+94791548350
Lychee,Nature's Bounty,Galle,288.42,Delivery,A,+94788411905
Watermelon,Harvest Moon,Galle,169.68,Courier,C,+94735008374
Watermelon,Nature's Bounty,Galle,140.87,Delivery,B,+94721670563
Grapes,Organic Lanka,Galle,267.62,Courier,A,+94725970697
Grapes,Eastern Produce Co.,Galle,91.12,Courier,A,+94748790444
Soursop,Farm Direct,Badulla,121.66,Delivery,B,+94751371032
Watermelon,Green Valley Orchards,Kurunegala,256.99,Pickup,B,+94719047577
Watermelon,Nature's Bounty,Kandy,464.81,Pickup,C,+94713596132
Woodapple,Jaffna Agro Products,Matara,84.51,Pickup,C,+94779036935
Blueberry,Sunripe Fruits,Jaffna,61.61,Courier,C,+94741506187
Blueberry,Golden Mango Traders,Batticaloa,259.5,Courier,A,+94744245249
Plum,Tropical Harvest Co.,Kandy,323.63,Pickup,B,+94789256799
Plum,Green Valley Orchards,Jaffna,327.37,Delivery,C,+94721123761
Plum,Jaffna Agro Products,Kandy,298.52,Courier,B,+94797225049
Guava,Southern Fruits & Veggies,Jaffna,305.42,Pickup,A,+94774642621
Guava,Harvest Moon,Badulla,490.91,Delivery,A,+94788281716
Custard Apple,Eastern Produce Co.,Kurunegala,349.9,Delivery,B,+94732689597
Woodapple,Fresh Picks,Colombo,141.3,Courier,B,+94743039821
Soursop,Eastern Produce Co.,Ratnapura,304.04,Delivery,A,+94751010439
Pomegranate,Island Fresh Produce,Anuradhapura,175.33,Pickup,A,+94763063065
Pomegranate,Fresh Picks,Ratnapura,97.34,Courier,A,+94726206049
Pomegranate,Sunripe Fruits,Kurunegala,368.43,Pickup,B,+94724596715
Kiwi,Golden Mango Traders,Colombo,495.8,Delivery,A,+94780840870
Strawberry,Kandyan Fruits Ltd.,Colombo,416.33,Delivery,B,+94756756544
Strawberry,Ceylon Fruit Suppliers,Ratnapura,218.89,Delivery,C,+94724238560
Avocado,Green Valley Orchards,Anuradhapura,159.8,Pickup,B,+94751052751
Avocado,Kandyan Fruits Ltd.,Galle,338.2,Delivery,A,+94780215614
Avocado,Nature's Bounty,Anuradhapura,318.21,Courier,A,+94790737447
Lemon,Golden Mango Traders,Galle,350.0,Courier,A,+94710235341
Soursop,Organic Lanka,Matara,160.83,Courier,B,+94796042126
Soursop,Eastern Produce Co.,Colombo,70.29,Courier,C,+94747696223
Soursop,Farm Direct,Trincomalee,348.98,Courier,A,+94759029561
Watermelon,Ceylon Fruit Suppliers,Negombo,417.15,Pickup,B,+94702151053
Lychee,Farm Direct,Anuradhapura,295.09,Courier,B,+94736215135
Papaya,Golden Mango Traders,Badulla,456.91,Delivery,A,+94734001812
Blueberry,Golden Mango Traders,Trincomalee,363.61,Courier,A,+94741161580
Strawberry,Island Fresh Produce,Kurunegala,264.91,Courier,C,+94786322855
Mangosteen,Harvest Moon,Kurunegala,203.59,Delivery,C,+94707223335
Mangosteen,Organic Lanka,Jaffna,330.84,Delivery,C,+94748088329
Kiwi,Exotic Fruits Lanka,Puttalam,286.16,Pickup,A,+94714468114
Kiwi,Green Valley Orchards,Batticaloa,303.46,Courier,C,+94781680671
Watermelon,Golden Mango Traders,Puttalam,73.7,Pickup,C,+94784222520
Watermelon,Royal Fruit Exports,Galle,314.72,Pickup,B,+94743071085
Kiwi,Island Fresh Produce,Matara,478.92,Delivery,A,+94732984682
Mango,Eastern Produce Co.,Puttalam,73.24,Delivery,B,+94721449847
Soursop,Sunripe Fruits,Negombo,391.94,Courier,C,+94760652101
Kiwi,Exotic Fruits Lanka,Kurunegala,348.25,Delivery,B,+94755753343
Kiwi,Ceylon Fruit Suppliers,Colombo,495.1,Courier,B,+94730034874
Kiwi,Spice Garden Exports,Anuradhapura,469.26,Pickup,B,+94737909117
Woodapple,Organic Lanka,Batticaloa,415.59,Pickup,B,+94727155404
Woodapple,Harvest Moon,Anuradhapura,423.48,Courier,A,+94723333601
Woodapple,Island Fresh Produce,Ratnapura,181.41,Delivery,B,+94748130815
Soursop,Organic Lanka,Badulla,445.14,Courier,A,+94730232840
Soursop,Hill Country Harvest,Jaffna,79.82,Pickup,A,+94765359012
Soursop,Tropical Harvest Co.,Puttalam,112.49,Pickup,C,+94795192091
Ambarella,Hill Country Harvest,Anuradhapura,242.4,Delivery,A,+94717655492
Ambarella,Island Fresh Produce,Kandy,445.57,Delivery,B,+94777217208
Ambarella,Sunripe Fruits,Colombo,443.09,Pickup,A,+94705535176
Avocado,Southern Fruits & Veggies,Matara,276.17,Courier,C,+94778380042
Avocado,Island Fresh Produce,Puttalam,429.63,Delivery,A,+94798126444
Pineapple,Tropical Harvest Co.,Ratnapura,149.44,Courier,A,+94778784583
Pineapple,Nature's Bounty,Galle,420.36,Courier,C,+94739036199
Strawberry,Ceylon Fruit Suppliers,Badulla,424.85,Delivery,A,+94757650472
Strawberry,Sunripe Fruits,Puttalam,111.51,Pickup,C,+94715910315
Strawberry,Kandyan Fruits Ltd.,Batticaloa,196.54,Pickup,C,+94740160398
Pear,Exotic Fruits Lanka,Trincomalee,94.29,Pickup,C,+94739719329
Pear,Golden Mango Traders,Puttalam,422.82,Pickup,A,+94747640067
Kiwi,Coconut Grove Farms,Kurunegala,237.14,Pickup,A,+94745430627
Pomegranate,Fresh Picks,Kurunegala,110.4,Pickup,A,+94739251905
Pomegranate,Nature's Bounty,Matara,383.46,Courier,A,+94737950019
Pomegranate,Golden Mango Traders,Negombo,193.29,Courier,C,+94707800737
Rambutan,Organic Lanka,Badulla,319.75,Pickup,A,+94701057848
Rambutan,Eastern Produce Co.,Ratnapura,139.42,Pickup,C,+94711748438
Lychee,Green Valley Orchards,Batticaloa,66.86,Pickup,C,+94769026648
Lychee,Golden Mango Traders,Colombo,220.1,Courier,B,+94763152456
Pear,Harvest Moon,Negombo,465.04,Courier,C,+94754605020
Pear,Hill Country Harvest,Kurunegala,156.66,Pickup,B,+94753587003
Pear,Royal Fruit Exports,Negombo,208.32,Courier,B,+94726439921
Kiwi,Green Valley Orchards,Anuradhapura,363.32,Pickup,C,+94713365666
Kiwi,Green Valley Orchards,Kurunegala,385.33,Courier,A,+94738699805
Peach,Coconut Grove Farms,Kandy,250.86,Courier,A,+94793532460
Peach,Southern Fruits & Veggies,Matara,153.91,Courier,B,+94769685447
Peach,Jaffna Agro Products,Colombo,186.19,Courier,B,+94730874729
Mangosteen,Coconut Grove Farms,Anuradhapura,267.34,Delivery,B,+94792188674
Coconut,Organic Lanka,Matara,358.46,Delivery,B,+94783252688
Coconut,Farm Direct,Colombo,305.27,Courier,C,+94727632331
Coconut,Royal Fruit Exports,Batticaloa,376.4,Courier,A,+94735589872
Cherry,Green Valley Orchards,Anuradhapura,96.13,Delivery,C,+94726121393
Beli,Jaffna Agro Products,Colombo,75.63,Delivery,B,+94734062035
Beli,Southern Fruits & Veggies,Negombo,192.62,Courier,A,+94736300439
Beli,Coconut Grove Farms,Kurunegala,338.77,Pickup,B,+94728227981
Papaya,Green Valley Orchards,Matara,286.49,Pickup,C,+94727288856
Papaya,Farm Direct,Anuradhapura,319.15,Courier,C,+94794167207
Papaya,Exotic Fruits Lanka,Colombo,306.72,Delivery,A,+94725685856
Cherry,Nature's Bounty,Ratnapura,280.63,Delivery,C,+94767966745
Cherry,Southern Fruits & Veggies,Ratnapura,319.01,Delivery,A,+94750164305
Cherry,Fresh Picks,Ratnapura,207.27,Delivery,C,+94789040638
Papaya,Coconut Grove Farms,Badulla,368.64,Delivery,C,+94770357112
Grapes,Royal Fruit Exports,Colombo,404.88,Pickup,A,+94792377816
Plum,Farm Direct,Anuradhapura,244.76,Delivery,B,+94730037426
Peach,Ceylon Fruit Suppliers,Trincomalee,213.91,Pickup,A,+94759306764
Guava,Organic Lanka,Puttalam,446.04,Pickup,A,+94737814415
Blueberry,Organic Lanka,Kandy,344.85,Pickup,A,+94780129507
Blueberry,Harvest Moon,Jaffna,81.7,Pickup,A,+94709964342
Blueberry,Jaffna Agro Products,Puttalam,395.84,Courier,C,+94731413184
Mango,Fresh Picks,Colombo,329.77,Pickup,B,+94717285081
Mango,Nature's Bounty,Jaffna,222.2,Delivery,A,+94798737179
Lychee,Ceylon Fruit Suppliers,Matara,96.04,Pickup,C,+94711272141
Papaya,Southern Fruits & Veggies,Colombo,375.72,Courier,B,+94719613490
Papaya,Sunripe Fruits,Puttalam,114.66,Courier,A,+94769438440
Peach,Fresh Picks,Anuradhapura,496.43,Courier,B,+94729110960
Peach,Eastern Produce Co.,Jaffna,264.17,Delivery,B,+94790290123
Pomegranate,Harvest Moon,Kurunegala,345.04,Courier,A,+94707134375
Pomegranate,Golden Mango Traders,Kurunegala,165.85,Pickup,B,+94771639861
Pomegranate,Nature's Bounty,Kandy,169.89,Pickup,B,+94791338720
Soursop,Organic Lanka,Kandy,83.79,Delivery,C,+94736256957
Lychee,Organic Lanka,Negombo,94.89,Delivery,A,+94764661725
Papaya,Exotic Fruits Lanka,Ratnapura,257.07,Courier,A,+94711868896
Papaya,Coconut Grove Farms,Kandy,335.94,Courier,B,+94701258722
Papaya,Farm Direct,Ratnapura,96.84,Courier,C,+94740221216
Avocado,Coconut Grove Farms,Jaffna,276.93,Delivery,B,+94767325019
Cherry,Exotic Fruits Lanka,Galle,195.52,Delivery,C,+94795195222
Cherry,Jaffna Agro Products,Galle,183.95,Delivery,C,+94718728041
Cherry,Royal Fruit Exports,Galle,51.06,Delivery,C,+94722225295
Pomegranate,Southern Fruits & Veggies,Ratnapura,402.46,Delivery,B,+94715673199
Pomegranate,Eastern Produce Co.,Colombo,396.41,Delivery,B,+94753576816
Pomegranate,Green Valley Orchards,Jaffna,284.05,Delivery,C,+94777840134
Blueberry,Ceylon Fruit Suppliers,Trincomalee,118.25,Delivery,A,+94715816887
Blueberry,Golden Mango Traders,Badulla,463.98,Courier,B,+94768517513
Blueberry,Tropical Harvest Co.,Kurunegala,203.81,Delivery,B,+94708527421
Avocado,Nature's Bounty,Anuradhapura,406.63,Delivery,A,+94717887874
Avocado,Kandyan Fruits Ltd.,Kandy,121.33,Delivery,B,+94755209273
Beli,Eastern Produce Co.,Negombo,107.81,Delivery,A,+94701543732
Beli,Exotic Fruits Lanka,Trincomalee,110.55,Courier,A,+94765957922
Avocado,Spice Garden Exports,Badulla,105.82,Courier,B,+94761013382
Avocado,Fresh Picks,Matara,214.82,Pickup,C,+94787489253
Avocado,Hill Country Harvest,Trincomalee,349.58,Pickup,C,+94729070131
Coconut,Nature's Bounty,Kurunegala,166.62,Courier,B,+94731827393
Coconut,Harvest Moon,Galle,239.55,Delivery,A,+94702811802
Coconut,Spice Garden Exports,Galle,315.82,Pickup,A,+94759540617
Peach,Coconut Grove Farms,Galle,80.79,Delivery,B,+94740652830
Peach,Sunripe Fruits,Negombo,472.73,Delivery,C,+94761390405
Peach,Southern Fruits & Veggies,Batticaloa,471.47,Pickup,B,+94765778846
Lychee,Royal Fruit Exports,Matara,301.46,Courier,C,+94725653806
Lychee,Farm Direct,Negombo,287.39,Delivery,A,+94714711171
Lychee,Harvest Moon,Puttalam,448.21,Pickup,A,+94728348371
Strawberry,Jaffna Agro Products,Kandy,233.9,Delivery,B,+94707605185
Mangosteen,Farm Direct,Batticaloa,314.69,Courier,A,+94724466791
Mangosteen,Harvest Moon,Matara,360.63,Delivery,B,+94705564142
Pear,Eastern Produce Co.,Galle,156.48,Delivery,A,+94724142286
Pear,Royal Fruit Exports,Ratnapura,123.58,Pickup,A,+94741659567
Grapes,Royal Fruit Exports,Trincomalee,265.8,Delivery,B,+94700480448
Cherry,Fresh Picks,Galle,393.92,Courier,B,+94795799229
Cherry,Royal Fruit Exports,Batticaloa,270.59,Courier,C,+94737980623
Blueberry,Jaffna Agro Products,Trincomalee,87.46,Delivery,B,+94771752958
Mangosteen,Hill Country Harvest,Trincomalee,177.55,Pickup,B,+94747740566
Orange,Green Valley Orchards,Ratnapura,464.32,Courier,C,+94713318522
Rambutan,Harvest Moon,Kurunegala,460.32,Courier,B,+94743768724
Rambutan,Tropical Harvest Co.,Badulla,363.8,Courier,C,+94744457707
Soursop,Royal Fruit Exports,Negombo,60.06,Pickup,A,+94713368658
Pomegranate,Green Valley Orchards,Batticaloa,58.58,Delivery,B,+94786363883
Peach,Organic Lanka,Kurunegala,348.94,Pickup,C,+94777180981
Soursop,Island Fresh Produce,Badulla,62.87,Courier,A,+94739602123
Soursop,Exotic Fruits Lanka,Kurunegala,463.71,Pickup,A,+94739733692
Pineapple,Golden Mango Traders,Batticaloa,463.97,Courier,C,+94724953094
Pineapple,Nature's Bounty,Anuradhapura,111.47,Pickup,B,+94766474802
Pineapple,Royal Fruit Exports,Anuradhapura,235.11,Courier,C,+94749324293
Beli,Golden Mango Traders,Jaffna,492.85,Delivery,C,+94724437435
Beli,Eastern Produce Co.,Puttalam,432.43,Pickup,A,+94769487326
Beli,Farm Direct,Trincomalee,154.04,Delivery,A,+94701527831
Woodapple,Nature's Bounty,Trincomalee,141.9,Pickup,A,+94713090047
Woodapple,Sunripe Fruits,Trincomalee,183.05,Courier,A,+94737216790
Woodapple,Spice Garden Exports,Negombo,498.77,Delivery,B,+94768109547
Papaya,Jaffna Agro Products,Colombo,448.69,Delivery,C,+94746255314
Papaya,Organic Lanka,Badulla,402.32,Courier,C,+94791157249
Pear,Tropical Harvest Co.,Batticaloa,114.74,Pickup,A,+94737797975
Pear,Hill Country Harvest,Kurunegala,263.39,Courier,B,+94706897774
Pear,Golden Mango Traders,Matara,352.02,Pickup,B,+94701908320
Apple,Golden Mango Traders,Kurunegala,131.31,Delivery,B,+94709563154
Apple,Coconut Grove Farms,Matara,455.6,Delivery,B,+94768194040
Apple,Nature's Bounty,Jaffna,260.25,Pickup,A,+94772287449
Grapes,Harvest Moon,Kurunegala,193.91,Delivery,C,+94751589855
Grapes,Island Fresh Produce,Ratnapura,300.41,Courier,A,+94737151436
Grapes,Jaffna Agro Products,Galle,129.36,Delivery,B,+94711038158
Rambutan,Nature's Bounty,Badulla,292.53,Courier,A,+94761454892
Watermelon,Golden Mango Traders,Puttalam,294.68,Delivery,C,+94752314242
Guava,Farm Direct,Kurunegala,111.22,Pickup,A,+94798494036
Kiwi,Tropical Harvest Co.,Galle,341.5,Delivery,B,+94792399707
Lemon,Hill Country Harvest,Colombo,425.3,Delivery,B,+94780589497
Pineapple,Hill Country Harvest,Batticaloa,443.07,Courier,A,+94717940286
Pineapple,Island Fresh Produce,Batticaloa,212.18,Courier,B,+94749616064
Rambutan,Sunripe Fruits,Ratnapura,483.3,Delivery,A,+94793483629
Rambutan,Southern Fruits & Veggies,Ratnapura,251.36,Courier,C,+94737585164
Mango,Royal Fruit Exports,Kandy,115.48,Pickup,A,+94778160672
Mango,Kandyan Fruits Ltd.,Colombo,436.73,Delivery,C,+94729585848
Banana,Fresh Picks,Colombo,182.29,Pickup,C,+94718456697
Banana,Hill Country Harvest,Puttalam,246.96,Delivery,B,+94734986086
Strawberry,Hill Country Harvest,Galle,246.29,Pickup,B,+94760833547
Strawberry,Jaffna Agro Products,Kurunegala,375.74,Delivery,B,+94723629988
Strawberry,Southern Fruits & Veggies,Badulla,432.6,Delivery,B,+94752522210
Pomegranate,Ceylon Fruit Suppliers,Badulla,268.34,Pickup,B,+94738380681
Pomegranate,Fresh Picks,Colombo,59.4,Courier,B,+94798454442
Pomegranate,Island Fresh Produce,Jaffna,347.92,Delivery,A,+94798199595
Papaya,Hill Country Harvest,Batticaloa,104.18,Pickup,C,+94797552642
Guava,Farm Direct,Kandy,233.64,Pickup,C,+94743015075
Guava,Harvest Moon,Kandy,235.77,Delivery,B,+94735431060
Guava,Southern Fruits & Veggies,Puttalam,360.08,Courier,C,+94726065725
Beli,Coconut Grove Farms,Kandy,203.84,Courier,B,+94773355665
Beli,Jaffna Agro Products,Negombo,305.43,Delivery,B,+94761516004
Cherry,Nature's Bounty,Kurunegala,438.8,Pickup,A,+94724083096
Cherry,Farm Direct,Trincomalee,223.72,Pickup,B,+94717568206
Cherry,Island Fresh Produce,Anuradhapura,120.6,Pickup,C,+94718810251
Woodapple,Sunripe Fruits,Negombo,445.45,Delivery,C,+94725533510
Woodapple,Hill Country Harvest,Matara,111.82,Pickup,C,+94786707407
Woodapple,Kandyan Fruits Ltd.,Puttalam,315.51,Pickup,B,+94702971629
Papaya,Harvest Moon,Trincomalee,405.45,Courier,C,+94754313881
Papaya,Green Valley Orchards,Puttalam,154.27,Delivery,A,+94726938549
Papaya,Farm Direct,Negombo,274.26,Pickup,C,+94751239371
Watermelon,Golden Mango Traders,Badulla,88.23,Courier,A,+94702389053
Watermelon,Farm Direct,Batticaloa,278.87,Pickup,A,+94705109690
Custard Apple,Royal Fruit Exports,Kandy,478.84,Pickup,A,+94736688591
Custard Apple,Fresh Picks,Puttalam,161.43,Pickup,C,+94701145184
Custard Apple,Exotic Fruits Lanka,Ratnapura,308.83,Pickup,B,+94701627959
Ambarella,Hill Country Harvest,Colombo,153.95,Pickup,A,+94747534866
Ambarella,Tropical Harvest Co.,Colombo,285.9,Courier,C,+94788749321
Ambarella,Kandyan Fruits Ltd.,Batticaloa,347.86,Pickup,B,+94738326234
Strawberry,Coconut Grove Farms,Colombo,300.56,Delivery,C,+94719932287
Strawberry,Nature's Bounty,Galle,69.89,Delivery,A,+94706224231
Strawberry,Green Valley Orchards,Galle,138.38,Pickup,C,+94716633676
Lychee,Exotic Fruits Lanka,Colombo,188.57,Pickup,C,+94713431219
Pear,Farm Direct,Anuradhapura,383.22,Delivery,C,+94772997448
Blueberry,Organic Lanka,Galle,414.97,Pickup,B,+94727992853
Blueberry,Fresh Picks,Trincomalee,482.92,Delivery,A,+94783228731
Blueberry,Ceylon Fruit Suppliers,Negombo,223.7,Courier,A,+94773112174
Apple,Royal Fruit Exports,Jaffna,412.37,Courier,C,+94727626580
Kiwi,Spice Garden Exports,Galle,256.11,Delivery,C,+94739683311
Kiwi,Royal Fruit Exports,Matara,311.52,Pickup,B,+94794786543
Kiwi,Sunripe Fruits,Jaffna,118.03,Pickup,C,+94732598839
Watermelon,Island Fresh Produce,Badulla,275.97,Courier,C,+94756387836
Coconut,Golden Mango Traders,Badulla,389.85,Pickup,A,+94703895594
Coconut,Spice Garden Exports,Matara,175.56,Courier,A,+94706332261
Grapes,Coconut Grove Farms,Trincomalee,472.83,Courier,A,+94750163261
Peach,Jaffna Agro Products,Jaffna,423.74,Pickup,A,+94730983422
Peach,Green Valley Orchards,Negombo,126.19,Delivery,B,+94799128981
Peach,Kandyan Fruits Ltd.,Colombo,316.8,Courier,A,+94794851930
Pineapple,Coconut Grove Farms,Colombo,112.33,Pickup,B,+94773404211
Pineapple,Ceylon Fruit Suppliers,Puttalam,338.22,Courier,C,+94777545000
Strawberry,Sunripe Fruits,Anuradhapura,208.62,Pickup,C,+94743892145
Strawberry,Fresh Picks,Trincomalee,390.04,Pickup,A,+94712193117
Strawberry,Coconut Grove Farms,Kandy,217.71,Delivery,C,+94753372263
Kiwi,Golden Mango Traders,Batticaloa,56.4,Delivery,B,+94715981093
Kiwi,Sunripe Fruits,Colombo,383.83,Pickup,B,+94795005466
Kiwi,Nature's Bounty,Anuradhapura,338.82,Delivery,C,+94775184098
Grapes,Southern Fruits & Veggies,Batticaloa,379.96,Delivery,A,+94758278069
Grapes,Green Valley Orchards,Batticaloa,139.98,Delivery,A,+94763277808
Orange,Royal Fruit Exports,Batticaloa,355.44,Courier,B,+94725634923
Orange,Hill Country Harvest,Puttalam,410.44,Pickup,C,+94782957546
Orange,Organic Lanka,Galle,457.71,Pickup,B,+94779573163
Pomegranate,Tropical Harvest Co.,Anuradhapura,81.87,Courier,C,+94740056701
Pomegranate,Hill Country Harvest,Trincomalee,488.62,Courier,B,+94756942142
Pomegranate,Green Valley Orchards,Badulla,62.0,Pickup,A,+94746580390
Soursop,Coconut Grove Farms,Anuradhapura,247.75,Delivery,C,+94787908249
Soursop,Harvest Moon,Badulla,411.76,Pickup,A,+94742631226
Soursop,Sunripe Fruits,Puttalam,392.48,Courier,A,+94757269759
Plum,Eastern Produce Co.,Colombo,351.33,Courier,B,+94726400565
Plum,Harvest Moon,Puttalam,172.1,Delivery,C,+94738285959
Plum,Farm Direct,Anuradhapura,307.0,Pickup,B,+94783289502
Grapes,Coconut Grove Farms,Negombo,51.13,Pickup,B,+94719352055
Grapes,Nature's Bounty,Badulla,396.76,Delivery,C,+94787038288
Grapes,Ceylon Fruit Suppliers,Galle,180.47,Delivery,C,+94792251056
