Fruit Type,Alternative Product,Location,Production Cost (LKR),Selling Price (LKR),Profit Margin (LKR),Profit Percentage,Raw Fruit Selling Price (LKR),Profit Advantage (LKR),Market Suitability
Jackfruit,Fruit-Based Dietary Supplements,Badulla,190.2400515,467.6038051,277.3637536,145.7967192,186.0746184,91.28913526,Export
Mangosteen,Jam,Kandy,62.56978763,104.7203713,42.15058368,67.3657132,196.1973042,-154.0467206,Online
Blueberry,Fruit Butter,Puttalam,129.9031811,259.2639023,129.3607212,99.58241216,187.0562703,-57.69554914,Local
Guava,Fruit Puree,Negombo,185.035344,356.5418477,171.5065038,92.68851026,153.6435089,17.86299489,Export
Woodapple,Vinegar,Negombo,167.3102074,245.8533908,78.54318336,46.94464527,184.5651097,-106.0219263,Local & Online
Mangosteen,Fermented Drink,Ratnapura,416.6165413,914.2812004,497.6646592,119.4538886,125.2964395,372.3682197,Online
Peach,Fruit Salsa,Matara,79.7681897,100.3509973,20.58280759,25.80327781,96.94505364,-76.36224605,Local & Online
Soursop,Vinegar,Puttalam,343.246132,835.0693377,491.8232057,143.2858698,175.4796723,316.3435334,Export & Online
Banana,Marmalade,Badulla,238.4849188,436.269048,197.7841292,82.93360024,190.7264592,7.057670036,Local
Ambarella,Nectar,Colombo,122.3894003,233.3366005,110.9472002,90.6509877,82.65988183,28.28731837,Export & Online
Papaya,Sauce,Batticaloa,287.0701882,360.9117987,73.84161053,25.72249351,166.4394192,-92.59780866,Local & Online
Papaya,Flavored Yogurt,Batticaloa,244.4900243,600.3643084,355.8742842,145.5577933,55.85324602,300.0210381,Export
Beli,Fruit-Infused Water,Colombo,450.1375419,793.6334828,343.4959409,76.30910752,110.3657873,233.1301536,Local & Online
Soursop,Essential Oil,Galle,292.7487858,481.0134507,188.2646648,64.30928972,158.3035543,29.96111057,Export & Online
Orange,Marmalade,Puttalam,286.4265389,690.9801707,404.5536318,141.2416717,73.14883703,331.4047947,Online
Lychee,Pickles,Kandy,329.746549,439.118928,109.3723791,33.16861978,25.38038285,83.99199621,Export & Online
Watermelon,Canned Fruit,Batticaloa,404.7701942,916.0634923,511.2932981,126.3169338,145.6982688,365.5950293,Local
Grapes,Freeze-Dried Fruit,Puttalam,185.4302778,360.5225218,175.092244,94.42484047,45.25442468,129.8378193,Export
Soursop,Chutney,Kurunegala,324.506313,554.7359193,230.2296063,70.94765097,163.1408702,67.08873615,Export & Online
Watermelon,Fruit Puree,Batticaloa,104.8029493,157.4665589,52.66360958,50.25012171,40.1562192,12.50739038,Local & Online
Woodapple,Fruit Pizza,Negombo,108.8105329,187.9489695,79.13843656,72.73049257,177.3644464,-98.2260098,Export
Blueberry,Canned Fruit Cocktail,Batticaloa,383.7242659,572.353681,188.6294151,49.15754147,181.4661425,7.163272678,Export
Plum,Fruit Butter,Jaffna,93.29196876,152.4393575,59.14738877,63.40030075,151.9443807,-92.79699196,Local & Online
Guava,Fruit Salad Mix,Negombo,160.7195195,196.0332204,35.31370091,21.97225392,62.87950839,-27.56580748,Export & Online
Custard Apple,Syrup,Kandy,368.8918855,835.6516113,466.7597258,126.5302231,164.0324515,302.7272742,Export
Woodapple,Freeze-Dried Fruit,Negombo,156.8983434,378.0941932,221.1958497,140.9803602,91.81459427,129.3812555,Export
Soursop,Pickles,Puttalam,236.3973713,341.6504552,105.2530839,44.52379624,119.819672,-14.56658809,Local
Pomegranate,Fruit-Filled Pastries,Kandy,443.1004846,1006.333164,563.2326797,127.1117273,171.0394874,392.1931923,Local & Online
Kiwi,Vinegar,Negombo,66.35970592,111.3213228,44.96161686,67.75439438,176.514303,-131.5526861,Export & Online
Strawberry,Fruit-Based Dietary Supplements,Kandy,112.0373139,267.6343792,155.5970653,138.8796821,138.6362631,16.96080228,Export
Avocado,Chutney,Colombo,362.0067631,760.8720299,398.8652668,110.1817169,164.43649,234.4287768,Export
Lemon,Frozen Dessert,Jaffna,453.0143176,815.4279111,362.4135935,80.00047226,66.04129932,296.3722942,Online
Soursop,Powdered Fruit,Galle,169.1247591,328.590472,159.4657129,94.28880414,50.15791125,109.3078016,Online
Watermelon,Fruit Topping,Jaffna,484.0796227,1006.989023,522.9094004,108.0213617,196.9117655,325.9976349,Local & Online
Lychee,Fruit Bars,Badulla,220.1429273,354.4367563,134.293829,61.00301776,49.72479489,84.56903413,Local & Online
Papaya,Jelly,Galle,233.9133136,522.8300375,288.916724,123.514442,105.8409533,183.0757706,Export & Online
Blueberry,Dried Fruit,Anuradhapura,446.5526592,600.0820878,153.5294286,34.38103558,76.26780362,77.26162501,Export & Online
Strawberry,Jam,Matara,202.8259546,247.4138243,44.58786974,21.98331561,28.5026332,16.08523654,Local & Online
Mangosteen,Fruit-Flavored Tea,Batticaloa,71.17286455,117.9367375,46.76387295,65.70463792,69.78330405,-23.0194311,Online
Kiwi,Frozen Dessert,Galle,303.1743104,628.2489692,325.0746588,107.2236821,149.7871001,175.2875587,Online
Watermelon,Fruit Topping,Puttalam,381.8858017,868.7373965,486.8515948,127.4861733,186.5000551,300.3515397,Local & Online
Kiwi,Syrup,Negombo,199.8939916,436.5340937,236.640102,118.3827988,24.40808847,212.2320135,Local
Mango,Fruit-Based Dietary Supplements,Batticaloa,111.6075604,193.6589296,82.05136916,73.51775172,133.5772313,-51.52586213,Online
Soursop,Juice,Puttalam,431.636391,718.9068157,287.2704247,66.553801,150.3169839,136.9534408,Online
Kiwi,Compote,Badulla,189.2118043,409.86254,220.6507358,116.6157347,187.0842878,33.56644796,Online
Woodapple,Fruit Leather,Anuradhapura,191.3194388,274.0439793,82.7245405,43.23896255,181.5061582,-98.78161773,Online
Soursop,Wine,Jaffna,132.7097659,163.5392382,30.82947229,23.23074876,68.20245573,-37.37298344,Export & Online
Ambarella,Pulp,Colombo,213.6915476,325.1242326,111.432685,52.14651037,70.78623831,40.64644671,Export
Avocado,Fruit Salad Mix,Anuradhapura,498.5414473,686.452582,187.9111347,37.69217901,144.4871231,43.42401163,Export & Online
Pineapple,Fruit Extract,Kurunegala,152.6838851,362.1681324,209.4842473,137.2012817,165.1131077,44.37113961,Online
Strawberry,Flavored Yogurt,Colombo,326.9044074,482.0355851,155.1311777,47.45459963,23.54940725,131.5817705,Online
Strawberry,Syrup,Ratnapura,268.9653808,659.2527331,390.2873523,145.1069097,108.0815734,282.2057789,Local & Online
Pear,Wine,Kurunegala,203.5682318,475.7386658,272.170434,133.6998566,55.78796338,216.3824706,Local & Online
Kiwi,Fruit Butter,Galle,470.3222004,1116.404194,646.0819938,137.3700823,167.0177672,479.0642266,Export & Online
Pomegranate,Frozen Dessert,Galle,488.2317668,940.3995304,452.1677637,92.61334359,48.51300735,403.6547563,Export
Rambutan,Fruit Candy,Colombo,406.9021705,789.5812408,382.6790704,94.04694744,35.26777968,347.4112907,Local & Online
Lychee,Compote,Ratnapura,320.0045234,521.2998956,201.2953721,62.9039146,188.251092,13.04428016,Local & Online
Pear,Fruit Candy,Puttalam,345.4642458,599.0043682,253.5401224,73.3911325,43.1030576,210.4370648,Export & Online
Kiwi,Fruit Salad Mix,Kandy,247.6769174,458.7995858,211.1226684,85.24115636,180.1725524,30.95011602,Export
Kiwi,Fruit Puree,Kurunegala,388.8212179,941.3386893,552.5174714,142.1006483,176.4242121,376.0932593,Export
Peach,Freeze-Dried Fruit,Galle,413.95336,784.6402778,370.6869179,89.54799109,132.1321713,238.5547466,Local & Online
Mangosteen,Compote,Batticaloa,414.0415593,708.3930647,294.3515054,71.09226085,82.59235111,211.7591543,Export & Online
Coconut,Fruit Puree,Galle,251.8178372,549.5656108,297.7477736,118.2393499,66.68772703,231.0600465,Export
Cherry,Dried Fruit,Matara,214.4300225,294.9798921,80.5498696,37.56464167,81.42476265,-0.87489305,Local
Beli,Fermented Drink,Jaffna,294.9761989,358.5791503,63.60295149,21.56206221,38.32482379,25.27812771,Local & Online
Beli,Fruit Salsa,Ratnapura,180.9577042,449.461005,268.5033008,148.379038,46.54972315,221.9535776,Local & Online
Papaya,Fruit Topping,Trincomalee,406.7770451,500.7878144,94.01076932,23.11112941,151.5851587,-57.57438935,Online
Cherry,Marmalade,Kandy,457.0050839,910.7366508,453.7315669,99.28370226,128.4701384,325.2614285,Export
Papaya,Frozen Dessert,Negombo,107.8486796,218.5784489,110.7297693,102.6714186,107.6082872,3.121482165,Local
Grapes,Fruit Chips,Jaffna,410.3798285,857.1288652,446.7490366,108.8623284,167.8459992,278.9030374,Local & Online
Plum,Sauce,Badulla,125.2516074,159.5725513,34.32094388,27.40159955,174.8828174,-140.5618735,Local & Online
Peach,Jelly,Trincomalee,209.6882054,444.9251674,235.236962,112.1841649,90.74309581,144.4938662,Export & Online
Guava,Fruit-Filled Pastries,Puttalam,394.0931107,549.1671058,155.0739951,39.34958285,164.4856069,-9.41161178,Online
Blueberry,Fruit Butter,Batticaloa,445.8935209,647.965347,202.071826,45.31840373,160.7076401,41.36418596,Local
Mango,Fruit Butter,Ratnapura,152.8775679,188.53793,35.66036213,23.326092,160.7951961,-125.1348339,Local
Lychee,Fruit-Filled Pastries,Ratnapura,374.0287022,777.8021061,403.7734039,107.9525185,176.0187328,227.7546711,Export
Papaya,Fruit Pizza,Trincomalee,430.5932262,843.2453715,412.6521453,95.83340383,113.8564665,298.7956788,Local & Online
Peach,Fruit Candy,Ratnapura,185.2087423,397.649324,212.4405817,114.7033228,71.17790884,141.2626728,Local
Pomegranate,Smoothie Mix,Galle,444.4751392,697.5495195,253.0743803,56.93780325,171.2917863,81.78259395,Export & Online
Soursop,Fruit Snacks,Colombo,461.9944377,760.8293262,298.8348885,64.68365506,25.27324922,273.5616393,Local & Online
Lychee,Fruit-Filled Pastries,Galle,248.7134905,314.8228838,66.10939325,26.58054177,187.7680093,-121.6586161,Local
Papaya,Fruit-Infused Water,Trincomalee,124.4733841,178.5124362,54.0390521,43.41414229,81.0081225,-26.9690704,Export & Online
Avocado,Fruit Puree,Puttalam,123.0399141,254.8704828,131.8305687,107.1445553,121.4423174,10.38825132,Local
Cherry,Fermented Drink,Jaffna,120.7857473,190.530926,69.74517874,57.74288796,71.27086988,-1.525691146,Local & Online
Pomegranate,Pulp,Negombo,463.651122,893.0706456,429.4195237,92.61694911,53.56214913,375.8573745,Export & Online
Blueberry,Fermented Drink,Puttalam,403.7446353,798.8377456,395.0931104,97.85717898,80.48071339,314.612397,Export & Online
Avocado,Essential Oil,Puttalam,146.8844096,296.8001591,149.9157495,102.0637588,102.8978979,47.01785158,Export
Beli,Fruit-Filled Pastries,Galle,239.4884411,448.4615212,208.9730801,87.25810695,89.48803451,119.4850455,Online
Avocado,Fruit-Flavored Tea,Negombo,218.5562177,353.4897274,134.9335097,61.73858199,98.77373937,36.15977032,Local & Online
Coconut,Pulp,Colombo,499.3051959,698.966147,199.6609511,39.98775753,156.74968,42.91127109,Local & Online
Peach,Fruit Topping,Kurunegala,227.9691842,368.9156861,140.9465019,61.8269975,94.91624411,46.03025775,Local & Online
Lychee,Chutney,Matara,493.112082,644.8315816,151.7194996,30.76775141,137.4722676,14.24723198,Local
Strawberry,Fruit Butter,Batticaloa,401.571635,521.5211879,119.9495529,29.87002628,150.1364119,-30.18685898,Export & Online
Mangosteen,Fruit Pizza,Puttalam,299.642394,431.5810605,131.9386665,44.03204256,103.5117623,28.42690414,Local & Online
Pear,Fruit-Based Dietary Supplements,Badulla,479.7786033,1046.948323,567.1697196,118.2148841,40.22446198,526.9452576,Online
Grapes,Frozen Dessert,Negombo,257.0586384,388.8759662,131.8173278,51.27908893,103.2505003,28.56682753,Export & Online
Cherry,Fruit Topping,Jaffna,220.369928,540.0598068,319.6898787,145.0696479,182.2652289,137.4246498,Export
Blueberry,Smoothie Mix,Kandy,382.0533247,509.6494625,127.5961377,33.39746822,95.07066309,32.52547464,Export & Online
Mangosteen,Jam,Galle,71.9329965,133.680768,61.74777149,85.84067743,103.8021061,-42.05433465,Export & Online
Orange,Fruit Candy,Matara,427.7519633,797.5043715,369.7524083,86.44084422,97.99872175,271.7536865,Export & Online
Rambutan,Jelly,Trincomalee,470.0257479,907.1009081,437.0751602,92.98962072,150.0947164,286.9804439,Online
Soursop,Syrup,Kurunegala,192.8828947,405.8665288,212.983634,110.421214,42.43282969,170.5508043,Export & Online
Pomegranate,Fruit Vinegar,Ratnapura,264.8189952,508.4668088,243.6478136,92.00541425,90.82842705,152.8193865,Local & Online
Peach,Fermented Drink,Negombo,305.3436633,561.0360447,255.6923814,83.73921328,29.50039776,226.1919837,Online
Soursop,Preserves,Anuradhapura,334.0034217,589.4596998,255.4562781,76.48313205,185.7720259,69.6842522,Export & Online
Pineapple,Fruit Candy,Anuradhapura,387.1496181,748.4028507,361.2532326,93.31101354,54.78573832,306.4674942,Online
Beli,Chutney,Batticaloa,112.5259305,183.7316563,71.20572579,63.27939301,64.66306286,6.542662934,Local & Online
Woodapple,Essential Oil,Galle,194.000763,286.2972788,92.29651583,47.57533652,84.45706892,7.839446914,Export
Papaya,Fruit Candy,Anuradhapura,435.5933922,687.9763474,252.3829552,57.94003301,122.7635144,129.6194408,Local
Pear,Smoothie Mix,Colombo,475.8283887,1041.240544,565.4121557,118.8269068,122.0785791,443.3335766,Export
Apple,Smoothie Mix,Badulla,80.31531093,195.1682792,114.8529683,143.0025819,82.10678814,32.74618011,Export & Online
Grapes,Pulp,Puttalam,495.6417618,874.9949096,379.3531479,76.53776924,57.68010275,321.6730451,Local
Rambutan,Frozen Dessert,Trincomalee,161.324577,396.7880015,235.4634245,145.9563253,176.0387227,59.42470181,Local & Online
Watermelon,Dried Fruit,Ratnapura,488.1246382,1100.113144,611.9885057,125.375459,46.9256533,565.0628524,Local & Online
Guava,Pickles,Matara,343.3413126,636.6525418,293.3112292,85.42846968,169.3069324,124.0042967,Local & Online
Kiwi,Marmalade,Jaffna,289.2907592,633.5395525,344.2487933,118.9975077,132.8304173,211.418376,Local & Online
Lemon,Pulp,Anuradhapura,390.4238238,615.8448736,225.4210498,57.73752421,73.52760673,151.8934431,Online
Pineapple,Nectar,Galle,201.483145,369.4325739,167.9494289,83.35656507,171.6538749,-3.704446003,Export & Online
Rambutan,Fruit Salsa,Trincomalee,431.4952157,874.2279997,442.7327839,102.604332,183.6474204,259.0853635,Export & Online
Mango,Sauce,Galle,274.1740749,678.0450839,403.871009,147.3045944,126.1627306,277.7082783,Local & Online
Banana,Preserves,Kurunegala,401.3899232,829.0099599,427.6200366,106.5348211,26.10593502,401.5141016,Local
Strawberry,Pulp,Kurunegala,491.8999386,845.9082708,354.0083322,71.96754959,84.86523629,269.1430959,Export & Online
Pomegranate,Freeze-Dried Fruit,Galle,219.466129,336.1725774,116.7064484,53.17743055,83.74231687,32.96413149,Local & Online
Papaya,Canned Fruit Cocktail,Matara,193.2132337,371.3365563,178.1233226,92.19002198,56.26409778,121.8592248,Online
Guava,Marmalade,Matara,223.4018639,490.972073,267.5702091,119.7708042,27.62187466,239.9483344,Local & Online
Beli,Fruit Leather,Kandy,194.8644576,447.6317453,252.7672877,129.7144132,190.1882459,62.57904174,Local
Cherry,Nectar,Jaffna,474.3575328,977.9390883,503.5815555,106.1607587,92.01425765,411.5672979,Export
Woodapple,Fruit Leather,Negombo,211.6685186,307.3149034,95.64638473,45.18687302,103.5544366,-7.908051845,Local
Papaya,Fruit Candy,Jaffna,452.6769687,702.3002001,249.6232314,55.14378875,169.3744912,80.24874019,Export
Watermelon,Fruit-Filled Pastries,Badulla,440.6535318,948.1776964,507.5241646,115.1753312,199.7824662,307.7416984,Export
Custard Apple,Fruit Extract,Batticaloa,436.3728785,883.9401033,447.5672248,102.5653167,55.163262,392.4039628,Local & Online
Ambarella,Essential Oil,Trincomalee,499.7792415,659.0532244,159.273983,31.86886724,55.15985774,104.1141252,Export & Online
Strawberry,Fruit-Based Dietary Supplements,Trincomalee,69.7443146,128.5119261,58.76761148,84.26150836,47.7775031,10.99010838,Export
Lychee,Flavored Yogurt,Negombo,247.4216043,576.8181024,329.396498,133.1316636,147.2637243,182.1327737,Export & Online
Pear,Frozen Dessert,Galle,268.0548025,607.9080024,339.8531999,126.7849696,196.5936272,143.2595726,Export & Online
Blueberry,Fruit Candy,Anuradhapura,292.793474,563.7659404,270.9724664,92.54730397,145.084476,125.8879904,Local & Online
Apple,Fruit Extract,Kurunegala,134.28652,294.606421,160.319901,119.386444,88.03817134,72.28172965,Export
Kiwi,Essential Oil,Negombo,343.7967334,531.6169199,187.8201865,54.63117253,171.2158756,16.60431091,Online
Watermelon,Fruit Topping,Matara,451.8158203,922.1309805,470.3151602,104.0944427,129.0752475,341.2399127,Local
Coconut,Jam,Trincomalee,395.2186976,666.7314008,271.5127031,68.69935677,75.03182704,196.4808761,Online
Grapes,Fruit Puree,Puttalam,273.6637392,493.0282943,219.364555,80.15842933,184.7784448,34.58611021,Local
Peach,Fruit-Infused Water,Anuradhapura,386.5182133,716.2257657,329.7075524,85.30194467,83.64986118,246.0576912,Local
Pineapple,Pickles,Ratnapura,459.0950241,691.2467083,232.1516842,50.56724033,170.0899465,62.06173771,Export
Strawberry,Pulp,Puttalam,265.0508927,505.2907135,240.2398208,90.63912912,132.0091331,108.2306878,Local
Kiwi,Fruit Leather,Puttalam,234.7637448,376.4768303,141.7130856,60.36412721,144.0759001,-2.362814592,Local
Grapes,Nectar,Trincomalee,350.8293473,505.229123,154.3997756,44.00993726,46.50436259,107.8954131,Local
Orange,Wine,Negombo,75.27292803,130.4755309,55.20260282,73.33659559,193.358709,-138.1561062,Local & Online
Pomegranate,Fruit Snacks,Jaffna,321.0930583,748.3683594,427.2753011,133.0689936,110.9565525,316.3187485,Export & Online
Soursop,Fruit Salsa,Galle,173.598902,263.0350008,89.43609878,51.51881592,175.1749343,-85.73883547,Export
Soursop,Canned Fruit Cocktail,Anuradhapura,371.3690702,670.3713273,299.0022572,80.51350562,78.3276616,220.6745956,Export & Online
Plum,Fruit Concentrate,Trincomalee,253.8839426,450.4537887,196.5698461,77.42508015,177.1238577,19.44598843,Export
Grapes,Fruit Bars,Kandy,448.4839691,644.3040461,195.820077,43.66267034,153.2795684,42.54050855,Local
Beli,Dried Fruit,Galle,477.4897875,932.123298,454.6335105,95.21324275,150.7506392,303.8828713,Local & Online
Beli,Nectar,Matara,50.62844275,116.115921,65.48747827,129.3491854,50.53114349,14.95633477,Local
Watermelon,Fruit Topping,Anuradhapura,342.0311477,477.7857423,135.7545946,39.69071107,71.38873653,64.36585809,Export & Online
Rambutan,Fruit Puree,Matara,469.5444647,838.8770033,369.3325386,78.65762807,74.70310455,294.6294341,Export
Ambarella,Compote,Galle,391.1505606,759.2892326,368.1386719,94.11687187,143.9069069,224.2317651,Local & Online
Avocado,Fruit Candy,Trincomalee,343.650417,680.6647407,337.0143237,98.06894071,79.93471928,257.0796044,Export & Online
Mango,Fruit-Infused Water,Batticaloa,176.6975964,212.6966835,35.9990871,20.37327492,114.8017,-78.80261292,Local
Peach,Smoothie Mix,Badulla,162.9314645,198.4272337,35.49576925,21.78570565,105.4901157,-69.99434644,Local
Kiwi,Frozen Dessert,Galle,246.7212901,494.800233,248.0789429,100.5502779,78.63951134,169.4394316,Local
Coconut,Pulp,Galle,387.0672453,845.4194021,458.3521568,118.4166737,184.498463,273.8536938,Local & Online
Kiwi,Fruit Leather,Badulla,207.1882643,420.3954952,213.2072308,102.9050712,27.60836155,185.5988693,Online
Coconut,Preserves,Colombo,90.12368669,174.5165743,84.39288765,93.64118441,116.6424948,-32.24960716,Local & Online
Pear,Essential Oil,Kandy,283.510111,554.148459,270.6383479,95.45985749,45.34676385,225.2915841,Online
Rambutan,Essential Oil,Batticaloa,427.0725314,793.2727312,366.2001998,85.74660575,111.3866211,254.8135786,Local
Peach,Fruit-Infused Water,Trincomalee,439.2856932,1005.29323,566.0075365,128.8472503,132.4270917,433.5804448,Local & Online
Mangosteen,Flavored Yogurt,Trincomalee,430.3188483,859.9700219,429.6511735,99.84484183,137.6181377,292.0330358,Local
Pear,Jelly,Kandy,349.1729521,749.618659,400.4457069,114.6840569,197.1045287,203.3411782,Local & Online
Pineapple,Fruit Leather,Ratnapura,87.7977787,138.9753433,51.17756462,58.29027269,121.8580658,-70.68050114,Online
Coconut,Fruit-Based Dietary Supplements,Negombo,340.8747978,730.7816283,389.9068305,114.3841765,48.49849562,341.4083349,Export
Jackfruit,Flavored Yogurt,Matara,359.5912576,810.1485486,450.557291,125.2970648,149.2780508,301.2792402,Local & Online
Avocado,Fruit-Infused Water,Colombo,333.3367774,570.2016971,236.8649197,71.05874172,196.4645745,40.40034526,Export
Soursop,Juice,Galle,412.501252,1028.292276,615.7910237,149.2822193,111.2491081,504.5419156,Local
Orange,Juice,Kurunegala,113.6674805,281.9611745,168.293694,148.0579082,175.4375524,-7.143858428,Local & Online
Avocado,Fermented Drink,Matara,395.9200265,708.934147,313.0141204,79.0599362,58.44138927,254.5727311,Local
Lychee,Essential Oil,Anuradhapura,370.4305142,789.1888372,418.7583231,113.0463898,32.32628097,386.4320421,Local & Online
Guava,Fruit Salsa,Matara,354.7043749,788.7956146,434.0912397,122.381135,79.58201975,354.50922,Local & Online
Rambutan,Fruit Salad Mix,Anuradhapura,91.67909421,211.8978699,120.2187757,131.1299776,181.4137529,-61.19497722,Local
Apple,Fruit Butter,Kurunegala,247.2615127,557.6043189,310.3428061,125.5119742,43.83484596,266.5079602,Local
Watermelon,Fruit Puree,Puttalam,94.7666739,195.0445722,100.2778983,105.8155723,102.3208412,-2.042942903,Export & Online
Peach,Fruit Leather,Galle,216.3843489,465.0608859,248.676537,114.9235322,163.6442659,85.03227103,Local & Online
Rambutan,Canned Fruit,Jaffna,234.811771,369.0863889,134.274618,57.18393819,69.32900228,64.94561569,Local & Online
Coconut,Essential Oil,Badulla,206.855427,492.0371343,285.1817073,137.8652286,173.7655307,111.4161766,Export
Woodapple,Pickles,Anuradhapura,154.3460862,378.0135444,223.6674582,144.9129444,94.91917114,128.748287,Export
Strawberry,Wine,Kurunegala,301.751635,664.8656398,363.1140048,120.3353894,108.5348418,254.579163,Local
Ambarella,Fruit Candy,Colombo,188.1159257,298.0340549,109.9181292,58.43105988,91.33583617,18.58229304,Export
Papaya,Fruit Salad Mix,Colombo,445.6648455,1044.162803,598.497957,134.2932841,158.3912736,440.1066834,Online
Avocado,Fruit Snacks,Negombo,78.40956731,191.0790436,112.6694763,143.6935314,127.1223379,-14.45286167,Export
Rambutan,Freeze-Dried Fruit,Badulla,428.0923236,1022.437594,594.3452708,138.8357693,122.8856971,471.4595737,Export & Online
Mangosteen,Wine,Ratnapura,423.4854577,514.143061,90.65760334,21.40748913,136.9494367,-46.29183336,Online
Banana,Juice,Kandy,487.5717505,1170.881488,683.3097379,140.1454734,181.1571097,502.1526282,Export
Strawberry,Fruit Butter,Kurunegala,317.4835395,711.1518688,393.6683293,123.9964535,39.40239873,354.2659306,Local & Online
Durian,Powdered Fruit,Trincomalee,81.96300346,105.2605334,23.29752991,28.42444631,180.9192452,-157.6217153,Local
Mango,Nectar,Jaffna,134.2288325,172.3022388,38.07340628,28.36455146,197.5131542,-159.4397479,Local & Online
Pineapple,Frozen Dessert,Matara,333.8527924,636.1705777,302.3177853,90.55421794,195.5108841,106.8069012,Export
Lemon,Fruit Chips,Negombo,243.8346049,603.1435048,359.3088999,147.3576321,109.9194144,249.3894855,Online
Plum,Fruit Concentrate,Matara,440.1475163,741.2334104,301.0858941,68.40567832,157.0143769,144.0715172,Export & Online
Watermelon,Dried Fruit,Puttalam,484.6603632,1117.874759,633.2143962,130.651162,141.544163,491.6702332,Export
Strawberry,Fruit-Flavored Tea,Trincomalee,404.745748,977.4033718,572.6576238,141.4857665,186.919536,385.7380878,Online
Orange,Fruit Snacks,Anuradhapura,300.7818217,614.3432922,313.5614705,104.2488102,130.1522093,183.4092612,Export & Online
Peach,Jam,Trincomalee,335.310775,747.3507897,412.0400147,122.8830224,84.76757268,327.272442,Online
Jackfruit,Compote,Matara,167.1132259,272.0992841,104.9860583,62.82330899,48.32241481,56.66364344,Local
Pomegranate,Essential Oil,Anuradhapura,89.14975719,133.6652784,44.51552125,49.9334184,115.2722443,-70.75672307,Export & Online
